word,ease_score
ЧТО,6.9400
КАК,6.7000
ЭТО,6.5800
ДЛЯ,6.5200
ВСЕ,6.4300
ТАК,6.3400
ЧТО-ТО,6.2100
УЖЕ,6.1600
ЕСЛИ,6.1500
ИЛИ,6.1200
ОНИ,6.1000
КОГДА,6.1000
ПРИ,6.0900
ТОЛЬКО,6.0600
КТО,6.0600
ОНА,6.0400
НЕТ,6.0100
ЕСТЬ,5.9900
ВРЕМЯ,5.9600
ЧТОБЫ,5.9500
ВОТ,5.9500
ЧЕМ,5.9500
ГДЕ,5.9300
ПОД,5.9300
ПОСЛЕ,5.9200
ОЧЕНЬ,5.8900
БЫТЬ,5.8800
ТАКЖЕ,5.8700
ТОМ,5.8500
ДАЖЕ,5.8400
БЕЗ,5.8200
ТАМ,5.8100
МОЖНО,5.7900
РАЗ,5.7900
КТО-ТО,5.7700
ЭТОТ,5.7500
СЕБЯ,5.7500
БОЛЕЕ,5.7400
ПРОСТО,5.7200
ОДИН,5.7200
США,5.7100
СЕЙЧАС,5.7000
НАДО,5.6900
ГДЕ-ТО,5.6700
ТОЖЕ,5.6600
ДЕНЬ,5.6400
ПОКА,5.6300
ЧЕРЕЗ,5.6300
ТЕПЕРЬ,5.6200
ЧЕЛОВЕК,5.6100
ГОД,5.6100
ДВА,5.6100
ТУТ,5.6000
КОТОРЫЙ,5.5900
МОЙ,5.5700
СЕГОДНЯ,5.5600
ЕЩЁ,5.5600
ПОЧЕМУ,5.5500
МЕЖДУ,5.5400
ЗДЕСЬ,5.5300
ТАКОЙ,5.5200
НАД,5.5200
ТОТ,5.5100
ВСЕГДА,5.5000
МНОГО,5.5000
ТРИ,5.5000
ТОГДА,5.4800
ЖИЗНЬ,5.4800
ПОТОМУ,5.4800
ЛИШЬ,5.4800
ДЕЛО,5.4700
МЕСТО,5.4600
ПОТОМ,5.4600
ОДНАКО,5.4600
САМ,5.4400
ХОТЯ,5.4200
ЛУЧШЕ,5.4200
ХОРОШО,5.4100
КАКОЙ,5.4100
ВЕДЬ,5.4100
ПРОТИВ,5.4100
ПЕРЕД,5.4000
ВМЕСТЕ,5.3800
ДОМ,5.3600
СВОЙ,5.3600
ИМЕННО,5.3500
ПЕРВЫЙ,5.3300
СССР,5.3300
НОВЫЙ,5.3200
ПОЧТИ,5.3200
ОКОЛО,5.3200
ВООБЩЕ,5.3100
ОНО,5.3100
ПРО,5.3100
ПОЭТОМУ,5.3000
СДЕЛАТЬ,5.3000
ЧАСТЬ,5.3000
ЛИБО,5.3000
КОНЕЧНО,5.2900
КРОМЕ,5.2900
НЕСКОЛЬКО,5.2800
СРЕДИ,5.2800
ДЕНЬГИ,5.2700
ВОПРОС,5.2700
ДРУГ,5.2700
ПОТОМУ ЧТО,5.2600
СПАСИБО,5.2500
НИКТО,5.2400
НИКОГДА,5.2400
ДЕЛАТЬ,5.2400
КАЖДЫЙ,5.2300
НАЗАД,5.2300
МИР,5.2300
КУДА,5.2300
СРАЗУ,5.2100
ЗАТЕМ,5.2100
СНОВА,5.2000
ВЕСЬ,5.2000
ИМЯ,5.1600
ВТОРОЙ,5.1500
ДРУГОЙ,5.1500
СКОЛЬКО,5.1500
СОВСЕМ,5.1500
НЕЛЬЗЯ,5.1500
ПРАВДА,5.1400
СКАЗАТЬ,5.1300
НАЙТИ,5.1300
ФИЛЬМ,5.1200
ГОРОД,5.1000
НОЧЬ,5.1000
ХОТЬ,5.1000
МЕНЕЕ,5.1000
ЖИТЬ,5.0900
ПЯТЬ,5.0900
ЗАЧЕМ,5.0900
ДАВНО,5.0900
ТОЧНО,5.0900
ЧАСТО,5.0900
СЫН,5.0800
РОЛЬ,5.0800
ИНОГДА,5.0700
МОСКВА,5.0700
МОМЕНТ,5.0700
НАПРИМЕР,5.0700
ВЧЕРА,5.0600
ЧУТЬ,5.0600
ПУСТЬ,5.0600
РАВНО,5.0600
БОЛЬШОЙ,5.0500
СТАТЬ,5.0500
МЕЖДУ ТЕМ,5.0500
РАБОТА,5.0300
БЫСТРО,5.0300
СЛИШКОМ,5.0300
МНОГИЕ,5.0300
УЧАСТИЕ,5.0300
ПЕРИОД,5.0300
МАМА,5.0200
МАЛО,5.0200
ЗАВТРА,5.0100
РЯД,5.0100
ОПЯТЬ,5.0100
СКОРО,5.0100
БУДТО,5.0000
ОТЕЦ,4.9900
САМЫЙ,4.9900
ТАКИ,4.9900
ЧИСЛО,4.9900
ЧАС,4.9900
ВИД,4.9800
ПРАВО,4.9700
МАТЬ,4.9700
